"site_id","year","quarter","kelp","no3","waves","NPGO","MEI","PDO"
57,1987,1,14200,3.43,5.471,0.58,1.2,1.65
58,1987,1,41193,3.48,5.466,0.58,1.2,1.65
59,1987,1,42249,3.48,5.541,0.58,1.2,1.65
60,1987,1,14949,3.48,5.868,0.58,1.2,1.65
61,1987,1,5546,3.29,6.544,0.58,1.2,1.65
62,1987,1,21352,3.23,5.578,0.58,1.2,1.65
63,1987,1,5947,3.23,6.644,0.58,1.2,1.65
64,1987,1,64635,3.23,4.89,0.58,1.2,1.65
65,1987,1,0,3.22,6.24,0.58,1.2,1.65
66,1987,1,7204,3.46,5.64,0.58,1.2,1.65
67,1987,1,1202,3.31,5.107,0.58,1.2,1.65
68,1987,1,0,3.31,5.935,0.58,1.2,1.65
69,1987,1,1594,3.37,6.373,0.58,1.2,1.65
70,1987,1,51489,3.18,5.914,0.58,1.2,1.65
71,1987,1,18049,3.34,4.988,0.58,1.2,1.65
72,1987,1,1999,3.34,4.853,0.58,1.2,1.65
73,1987,1,53069,3.29,5.453,0.58,1.2,1.65
74,1987,1,0,3.31,6.562,0.58,1.2,1.65
75,1987,1,0,4.13,7.195,0.58,1.2,1.65
76,1987,1,18283,4.16,5.982,0.58,1.2,1.65
77,1987,1,84854,4.13,5.493,0.58,1.2,1.65
78,1987,1,31432,4.13,8.146,0.58,1.2,1.65
79,1987,1,43876,4.16,9.435,0.58,1.2,1.65
80,1987,1,64531,4.27,6.058,0.58,1.2,1.65
81,1987,1,3876,4.25,5.712,0.58,1.2,1.65
82,1987,1,1904,4.12,5.908,0.58,1.2,1.65
83,1987,1,938,4.1,5.433,0.58,1.2,1.65
84,1987,1,27016,3.76,3.378,0.58,1.2,1.65
85,1987,1,76979,3.92,3.133,0.58,1.2,1.65
86,1987,1,21156,3.92,3.288,0.58,1.2,1.65
87,1987,1,105250,4.03,3.029,0.58,1.2,1.65
88,1987,1,75388,4.14,3.345,0.58,1.2,1.65
89,1987,1,42227,4.03,3.651,0.58,1.2,1.65
90,1987,1,8296,4.14,3.815,0.58,1.2,1.65
91,1987,1,205513,4.14,3.613,0.58,1.2,1.65
92,1987,1,127110,4.14,2.953,0.58,1.2,1.65
93,1987,1,153222,4.15,2.425,0.58,1.2,1.65
94,1987,1,62484,4.15,3.121,0.58,1.2,1.65
95,1987,1,17398,4.15,2.945,0.58,1.2,1.65
96,1987,1,22914,4.15,3.416,0.58,1.2,1.65
97,1987,1,880,4.12,4.517,0.58,1.2,1.65
98,1987,1,574,4.08,4.279,0.58,1.2,1.65
99,1987,1,28505,4.09,3.38,0.58,1.2,1.65
100,1987,1,7934,4.09,3.964,0.58,1.2,1.65
101,1987,1,51087,4.08,4.361,0.58,1.2,1.65
102,1987,1,17489,3.67,4.172,0.58,1.2,1.65
103,1987,1,5555,4.08,4.635,0.58,1.2,1.65
104,1987,1,20460,3.71,5.716,0.58,1.2,1.65
105,1987,1,7851,3.71,4.606,0.58,1.2,1.65
106,1987,1,12815,3.76,5.062,0.58,1.2,1.65
107,1987,1,20122,3.78,4.057,0.58,1.2,1.65
108,1987,1,25335,3.78,4.67,0.58,1.2,1.65
109,1987,1,375,3.78,6.48,0.58,1.2,1.65
110,1987,1,900,3.92,4.899,0.58,1.2,1.65
111,1987,1,13015,3.92,4.731,0.58,1.2,1.65
112,1987,1,2859,3.81,4.132,0.58,1.2,1.65
113,1987,1,3403,3.73,3.616,0.58,1.2,1.65
114,1987,1,0,3.78,4.712,0.58,1.2,1.65
115,1987,1,0,3.56,5.631,0.58,1.2,1.65
116,1987,1,28064,3.69,5.653,0.58,1.2,1.65
117,1987,1,5854,3.69,5.9,0.58,1.2,1.65
118,1987,1,0,3.66,5.289,0.58,1.2,1.65
119,1987,1,3533,4.13,5.998,0.58,1.2,1.65
120,1987,1,917,4.13,5.3,0.58,1.2,1.65
121,1987,1,0,3.7,4.583,0.58,1.2,1.65
122,1987,1,0,3.69,3.787,0.58,1.2,1.65
123,1987,1,0,4.16,4.643,0.58,1.2,1.65
124,1987,1,0,3.83,4.026,0.58,1.2,1.65
125,1987,1,0,3.86,3.668,0.58,1.2,1.65
126,1987,1,0,4.18,4.593,0.58,1.2,1.65
127,1987,1,1598,4.18,4.015,0.58,1.2,1.65
128,1987,1,0,3.98,3.995,0.58,1.2,1.65
129,1987,1,0,3.99,4.449,0.58,1.2,1.65
130,1987,1,22366,3.83,4.407,0.58,1.2,1.65
131,1987,1,18348,3.83,4.933,0.58,1.2,1.65
132,1987,1,737,3.69,5.609,0.58,1.2,1.65
133,1987,1,0,3.68,6.296,0.58,1.2,1.65
134,1987,1,0,3.6,4.759,0.58,1.2,1.65
135,1987,1,0,3.59,5.514,0.58,1.2,1.65
136,1987,1,0,3.58,6.464,0.58,1.2,1.65
137,1987,1,0,3.58,6.074,0.58,1.2,1.65
138,1987,1,0,3.57,7.502,0.58,1.2,1.65
139,1987,1,0,3.46,5.278,0.58,1.2,1.65
140,1987,1,0,3.46,4.57,0.58,1.2,1.65
141,1987,1,0,3.4,5.228,0.58,1.2,1.65
142,1987,1,0,3.4,4.823,0.58,1.2,1.65
143,1987,1,0,3.39,5.326,0.58,1.2,1.65
144,1987,1,0,3.39,4.121,0.58,1.2,1.65
145,1987,1,0,3.41,4.876,0.58,1.2,1.65
146,1987,1,0,3.09,4.863,0.58,1.2,1.65
147,1987,1,0,3.09,4.81,0.58,1.2,1.65
148,1987,1,0,3.09,5.396,0.58,1.2,1.65
149,1987,1,0,3.09,5.324,0.58,1.2,1.65
150,1987,1,0,3.09,6.191,0.58,1.2,1.65
151,1987,1,0,3.14,5.27,0.58,1.2,1.65
152,1987,1,0,3.11,5.163,0.58,1.2,1.65
153,1987,1,0,3.19,4.903,0.58,1.2,1.65
154,1987,1,0,3.1,4.936,0.58,1.2,1.65
155,1987,1,0,3.09,5.223,0.58,1.2,1.65
156,1987,1,0,3,5.573,0.58,1.2,1.65
157,1987,1,0,2.94,4.914,0.58,1.2,1.65
158,1987,1,0,2.83,5.69,0.58,1.2,1.65
159,1987,1,0,4.17,5.024,0.58,1.2,1.65
160,1987,1,0,4.17,4.736,0.58,1.2,1.65
161,1987,1,0,4.17,7.018,0.58,1.2,1.65
162,1987,1,0,4.18,6.875,0.58,1.2,1.65
163,1987,1,0,3.86,3.982,0.58,1.2,1.65
164,1987,1,9529,3.95,4.587,0.58,1.2,1.65
165,1987,1,1118,3.95,4.919,0.58,1.2,1.65
166,1987,1,1325,3.95,3.387,0.58,1.2,1.65
167,1987,1,0,3.95,3.965,0.58,1.2,1.65
168,1987,1,0,4.07,3.75,0.58,1.2,1.65
169,1987,1,19319,4.26,4.52,0.58,1.2,1.65
170,1987,1,2309,4.31,3.807,0.58,1.2,1.65
171,1987,1,4748,4.31,5.37,0.58,1.2,1.65
172,1987,1,20878,4.34,4.475,0.58,1.2,1.65
173,1987,1,0,4.18,4.486,0.58,1.2,1.65
174,1987,1,8823,4.08,3.82,0.58,1.2,1.65
175,1987,1,22507,4.37,3.318,0.58,1.2,1.65
176,1987,1,2276,4.43,3.832,0.58,1.2,1.65
177,1987,1,0,4.45,3.989,0.58,1.2,1.65
178,1987,1,6437,4.45,3.836,0.58,1.2,1.65
179,1987,1,9556,4.36,4.006,0.58,1.2,1.65
180,1987,1,3116,3.86,3.787,0.58,1.2,1.65
181,1987,1,2971,3.86,4.507,0.58,1.2,1.65
182,1987,1,1556,3.78,4.117,0.58,1.2,1.65
183,1987,1,0,4.01,4.724,0.58,1.2,1.65
184,1987,1,0,3.8,5.084,0.58,1.2,1.65
185,1987,1,0,3.92,4.705,0.58,1.2,1.65
186,1987,1,0,3.92,3.969,0.58,1.2,1.65
187,1987,1,0,3.78,5.039,0.58,1.2,1.65
188,1987,1,0,4.32,5.082,0.58,1.2,1.65
189,1987,1,6858,4.34,5.419,0.58,1.2,1.65
190,1987,1,388,4.45,3.963,0.58,1.2,1.65
191,1987,1,14479,4.45,4.938,0.58,1.2,1.65
192,1987,1,1158,4.48,4.473,0.58,1.2,1.65
193,1987,1,886,4.47,4.64,0.58,1.2,1.65
194,1987,1,386,4.57,4.479,0.58,1.2,1.65
195,1987,1,2226,4.21,5.223,0.58,1.2,1.65
196,1987,1,0,4.27,5.067,0.58,1.2,1.65
197,1987,1,0,3.92,4.593,0.58,1.2,1.65
198,1987,1,0,3.88,4.749,0.58,1.2,1.65
199,1987,1,0,3.9,5.722,0.58,1.2,1.65
200,1987,1,0,3.87,5.463,0.58,1.2,1.65
201,1987,1,1016,3.9,4.534,0.58,1.2,1.65
202,1987,1,395,3.94,4.961,0.58,1.2,1.65
203,1987,1,0,4.2,3.817,0.58,1.2,1.65
204,1987,1,0,4.2,4.741,0.58,1.2,1.65
205,1987,1,0,4.2,4.608,0.58,1.2,1.65
206,1987,1,469,4.2,4.789,0.58,1.2,1.65
207,1987,1,0,4.22,4.455,0.58,1.2,1.65
208,1987,1,26236,4.23,3.995,0.58,1.2,1.65
209,1987,1,74816,4.29,3.46,0.58,1.2,1.65
210,1987,1,2531,4.27,3.623,0.58,1.2,1.65
211,1987,1,0,4.2,4.257,0.58,1.2,1.65
212,1987,1,0,4.2,5.968,0.58,1.2,1.65
213,1987,1,264,4.21,6.746,0.58,1.2,1.65
214,1987,1,0,4.33,4.414,0.58,1.2,1.65
215,1987,1,0,4.33,5.274,0.58,1.2,1.65
216,1987,1,0,4.47,4.721,0.58,1.2,1.65
217,1987,1,0,4.54,4.57,0.58,1.2,1.65
218,1987,1,15664.5,4.85,3.736,0.58,1.2,1.65
219,1987,1,117929,4.97,5.188,0.58,1.2,1.65
220,1987,1,70881,4.97,3.65,0.58,1.2,1.65
221,1987,1,0,4.98,3.65,0.58,1.2,1.65
222,1987,1,123464,4.96,3.132,0.58,1.2,1.65
223,1987,1,46983,4.96,3.521,0.58,1.2,1.65
224,1987,1,14816,4.96,3.039,0.58,1.2,1.65
225,1987,1,0,4.14,5.558,0.58,1.2,1.65
226,1987,1,1755,4.17,4.677,0.58,1.2,1.65
227,1987,1,13339,3.79,3.54,0.58,1.2,1.65
228,1987,1,2173,3.94,3.617,0.58,1.2,1.65
229,1987,1,0,3.9,3.363,0.58,1.2,1.65
230,1987,1,11089,3.9,3.042,0.58,1.2,1.65
231,1987,1,0,4.01,3.647,0.58,1.2,1.65
232,1987,1,2076,4.1,3.777,0.58,1.2,1.65
233,1987,1,0,3.97,4.585,0.58,1.2,1.65
234,1987,1,834,3.86,4.325,0.58,1.2,1.65
235,1987,1,5148,3.86,4.406,0.58,1.2,1.65
236,1987,1,88364,3.84,4.266,0.58,1.2,1.65
237,1987,1,1407,3.86,4.591,0.58,1.2,1.65
238,1987,1,91289,3.9,5.474,0.58,1.2,1.65
239,1987,1,0,3.9,6.379,0.58,1.2,1.65
240,1987,1,0,3.9,4.676,0.58,1.2,1.65
241,1987,1,505,3.98,4.903,0.58,1.2,1.65
242,1987,1,3648,3.65,6.111,0.58,1.2,1.65
243,1987,1,10775,3.53,2.605,0.58,1.2,1.65
244,1987,1,14069,3.55,2.7,0.58,1.2,1.65
245,1987,1,36474,3.61,2.157,0.58,1.2,1.65
246,1987,1,45104,3.6,2.053,0.58,1.2,1.65
247,1987,1,37708,3.53,2.343,0.58,1.2,1.65
248,1987,1,25521,3.5,2.834,0.58,1.2,1.65
249,1987,1,85121,3.52,2.839,0.58,1.2,1.65
250,1987,1,35619,3.42,2.601,0.58,1.2,1.65
251,1987,1,12022,3.38,3.266,0.58,1.2,1.65
252,1987,1,2128,3.32,3.854,0.58,1.2,1.65
253,1987,1,69320,3.33,3.589,0.58,1.2,1.65
254,1987,1,75095,3.32,3.375,0.58,1.2,1.65
255,1987,1,13305,3.32,2.99,0.58,1.2,1.65
256,1987,1,28152,3.13,1.767,0.58,1.2,1.65
257,1987,1,22287,3.37,2.308,0.58,1.2,1.65
258,1987,1,9336,3.07,2.53,0.58,1.2,1.65
259,1987,1,7417,3.31,2.409,0.58,1.2,1.65
260,1987,1,12219,3.06,3.262,0.58,1.2,1.65
261,1987,1,4753,3.04,3.17,0.58,1.2,1.65
262,1987,1,997,3.27,1.578,0.58,1.2,1.65
263,1987,1,488,3.03,1.536,0.58,1.2,1.65
264,1987,1,14257,3.03,1.698,0.58,1.2,1.65
265,1987,1,11754,3.23,1.751,0.58,1.2,1.65
266,1987,1,11669,2.99,1.868,0.58,1.2,1.65
267,1987,1,14465,2.92,1.779,0.58,1.2,1.65
268,1987,1,6028,2.91,1.761,0.58,1.2,1.65
269,1987,1,18898,2.86,1.732,0.58,1.2,1.65
270,1987,1,0,2.98,1.662,0.58,1.2,1.65
271,1987,1,352,2.97,1.54,0.58,1.2,1.65
272,1987,1,3865,2.73,2.055,0.58,1.2,1.65
273,1987,1,3496,2.67,2.225,0.58,1.2,1.65
274,1987,1,114475,2.65,2.238,0.58,1.2,1.65
275,1987,1,53331,2.69,2.025,0.58,1.2,1.65
276,1987,1,226,2.53,1.839,0.58,1.2,1.65
277,1987,1,3143,2.53,1.403,0.58,1.2,1.65
278,1987,1,46024,2.32,1.736,0.58,1.2,1.65
279,1987,1,175282,2.38,1.94,0.58,1.2,1.65
280,1987,1,25850,2.38,1.837,0.58,1.2,1.65
281,1987,1,12666,2.31,2.071,0.58,1.2,1.65
282,1987,1,31152,2.3,1.858,0.58,1.2,1.65
283,1987,1,212981,2.26,1.752,0.58,1.2,1.65
284,1987,1,147433,2.05,1.669,0.58,1.2,1.65
285,1987,1,6804,2.18,1.486,0.58,1.2,1.65
286,1987,1,2098,2.18,1.192,0.58,1.2,1.65
287,1987,1,30092,2.12,1.466,0.58,1.2,1.65
288,1987,1,11028,2.12,1.482,0.58,1.2,1.65
289,1987,1,947,2.08,1.673,0.58,1.2,1.65
290,1987,1,1361,2.02,1.663,0.58,1.2,1.65
291,1987,1,9799,2.02,1.694,0.58,1.2,1.65
292,1987,1,43268,1.99,1.665,0.58,1.2,1.65
293,1987,1,26552,2.04,1.589,0.58,1.2,1.65
294,1987,1,20265,2.08,0.843,0.58,1.2,1.65
295,1987,1,21326,1.99,1.504,0.58,1.2,1.65
296,1987,1,64259,1.97,1.995,0.58,1.2,1.65
297,1987,1,111295,1.97,1.816,0.58,1.2,1.65
298,1987,1,2105,2.06,2.176,0.58,1.2,1.65
299,1987,1,149351,1.82,1.774,0.58,1.2,1.65
300,1987,1,22568,1.8,1.714,0.58,1.2,1.65
301,1987,1,14075,1.74,1.714,0.58,1.2,1.65
302,1987,1,71218,1,1.842,0.58,1.2,1.65
303,1987,1,81342,1,2.156,0.58,1.2,1.65
304,1987,1,50853,1.01,2.219,0.58,1.2,1.65
305,1987,1,80950,1.1,2.355,0.58,1.2,1.65
306,1987,1,140660,1.1,2.167,0.58,1.2,1.65
307,1987,1,106133,1.04,1.775,0.58,1.2,1.65
308,1987,1,287312,1.02,2.158,0.58,1.2,1.65
309,1987,1,51723,1.02,1.902,0.58,1.2,1.65
310,1987,1,70287,1.02,1.928,0.58,1.2,1.65
311,1987,1,61434,1.02,1.712,0.58,1.2,1.65
312,1987,1,24763,1.06,1.77,0.58,1.2,1.65
313,1987,1,73653,1.15,1.771,0.58,1.2,1.65
314,1987,1,38662,1.17,1.749,0.58,1.2,1.65
315,1987,1,25948,1.08,1.82,0.58,1.2,1.65
316,1987,1,80524,1.08,1.181,0.58,1.2,1.65
317,1987,1,6564,1.11,1.127,0.58,1.2,1.65
318,1987,1,48572,1.12,1.047,0.58,1.2,1.65
319,1987,1,34574,1.12,1.132,0.58,1.2,1.65
320,1987,1,33895,1.12,1.112,0.58,1.2,1.65
321,1987,1,82366,1.13,1.322,0.58,1.2,1.65
322,1987,1,241145,0.66,2.67,0.58,1.2,1.65
323,1987,1,223290,0.63,2.377,0.58,1.2,1.65
324,1987,1,316477,0.62,2.762,0.58,1.2,1.65
325,1987,1,479493,0.7,3.027,0.58,1.2,1.65
326,1987,1,49955,0.59,2.237,0.58,1.2,1.65
327,1987,1,11629,0.59,2.635,0.58,1.2,1.65
328,1987,1,1542,0.53,2.85,0.58,1.2,1.65
329,1987,1,2415,0.52,1.853,0.58,1.2,1.65
330,1987,1,5412,0.46,2.405,0.58,1.2,1.65
331,1987,1,5167,0.4,1.684,0.58,1.2,1.65
332,1987,1,9044,0.42,1.137,0.58,1.2,1.65
333,1987,1,12474,0.42,1.589,0.58,1.2,1.65
334,1987,1,2014,0.44,1.546,0.58,1.2,1.65
335,1987,1,8185,0.52,1.804,0.58,1.2,1.65
336,1987,1,5862,0.56,2.003,0.58,1.2,1.65
337,1987,1,13508,0.56,2.288,0.58,1.2,1.65
338,1987,1,14734,0.56,2.284,0.58,1.2,1.65
339,1987,1,5645,0.55,2.299,0.58,1.2,1.65
340,1987,1,5057,0.54,2.225,0.58,1.2,1.65
341,1987,1,11751,0.61,2.207,0.58,1.2,1.65
342,1987,1,9317,0.66,2.074,0.58,1.2,1.65
343,1987,1,370,0.66,2.068,0.58,1.2,1.65
344,1987,1,3601,0.68,2.583,0.58,1.2,1.65
345,1987,1,0,0.43,1.308,0.58,1.2,1.65
346,1987,1,0,0.47,1.385,0.58,1.2,1.65
347,1987,1,0,0.48,1.733,0.58,1.2,1.65
348,1987,1,0,0.46,1.563,0.58,1.2,1.65
349,1987,1,6174,0.46,1.596,0.58,1.2,1.65
350,1987,1,43626,0.47,1.845,0.58,1.2,1.65
351,1987,1,454,0.35,2.257,0.58,1.2,1.65
352,1987,1,8867,0.29,2.243,0.58,1.2,1.65
353,1987,1,199,0.23,3.91,0.58,1.2,1.65
354,1987,1,27493,0.24,3.071,0.58,1.2,1.65
355,1987,1,27177,0.23,3.29,0.58,1.2,1.65
356,1987,1,31635,0.24,3.807,0.58,1.2,1.65
357,1987,1,6175,0.24,2.999,0.58,1.2,1.65
358,1987,1,110052,0.25,3.122,0.58,1.2,1.65
359,1987,1,105428,0.24,2.898,0.58,1.2,1.65
360,1987,1,8809,0.23,3.156,0.58,1.2,1.65
361,1987,1,15446,0.24,3.359,0.58,1.2,1.65
1,1987,2,0,9.92,2.372,0.38,1.87,1.07
2,1987,2,0,9.31,3.411,0.38,1.87,1.07
3,1987,2,11349,9.82,2.405,0.38,1.87,1.07
4,1987,2,13845,9.83,2.328,0.38,1.87,1.07
5,1987,2,0,9.24,2.308,0.38,1.87,1.07
6,1987,2,82677,8.93,2.27,0.38,1.87,1.07
7,1987,2,23881,8.8,2.006,0.38,1.87,1.07
8,1987,2,48241,8.8,2.071,0.38,1.87,1.07
9,1987,2,10610,8.6,2.033,0.38,1.87,1.07
10,1987,2,66395,8.33,1.777,0.38,1.87,1.07
11,1987,2,4159,8.25,1.671,0.38,1.87,1.07
12,1987,2,44477,8.25,1.928,0.38,1.87,1.07
13,1987,2,138813,8.07,1.725,0.38,1.87,1.07
14,1987,2,189668,8.03,2.033,0.38,1.87,1.07
15,1987,2,38097,7.49,1.495,0.38,1.87,1.07
16,1987,2,14834,7.22,1.759,0.38,1.87,1.07
17,1987,2,245479,7.22,1.493,0.38,1.87,1.07
18,1987,2,1671,6.8,1.428,0.38,1.87,1.07
19,1987,2,53890,6.83,1.32,0.38,1.87,1.07
20,1987,2,16629,6.96,1.368,0.38,1.87,1.07
21,1987,2,20705,6.79,1.435,0.38,1.87,1.07
22,1987,2,0,9.98,0.611,0.38,1.87,1.07
23,1987,2,16756,9.93,0.995,0.38,1.87,1.07
24,1987,2,75904,9.93,0.954,0.38,1.87,1.07
25,1987,2,65032.5,10.03,1.824,0.38,1.87,1.07
26,1987,2,168640,9.49,1.502,0.38,1.87,1.07
27,1987,2,49296,9.49,2.018,0.38,1.87,1.07
28,1987,2,0,9.49,2.704,0.38,1.87,1.07
29,1987,2,0,9.48,3.322,0.38,1.87,1.07
30,1987,2,0,9.37,3.007,0.38,1.87,1.07
31,1987,2,1362,9.5,3.649,0.38,1.87,1.07
32,1987,2,2888,9.43,3.306,0.38,1.87,1.07
33,1987,2,0,9.06,3.451,0.38,1.87,1.07
34,1987,2,1403,9.47,3.274,0.38,1.87,1.07
35,1987,2,7348,9.47,3.386,0.38,1.87,1.07
36,1987,2,376145,10.36,2.181,0.38,1.87,1.07
37,1987,2,160125,10.36,3.044,0.38,1.87,1.07
38,1987,2,325857,10.36,2.41,0.38,1.87,1.07
39,1987,2,166141,9.81,1.938,0.38,1.87,1.07
40,1987,2,252273,9.77,2.107,0.38,1.87,1.07
41,1987,2,420536,9.58,1.85,0.38,1.87,1.07
42,1987,2,282198,9.58,1.963,0.38,1.87,1.07
43,1987,2,425875,10.6,2.352,0.38,1.87,1.07
44,1987,2,4114,10.62,1.455,0.38,1.87,1.07
45,1987,2,27033,12.27,1.227,0.38,1.87,1.07
46,1987,2,74355,12.56,1.902,0.38,1.87,1.07
47,1987,2,0,11.22,3.521,0.38,1.87,1.07
48,1987,2,22597,11.22,3.128,0.38,1.87,1.07
49,1987,2,71034,10.86,2.119,0.38,1.87,1.07
50,1987,2,101005.5,12.56,2.218,0.38,1.87,1.07
51,1987,2,2394,12.56,3.23,0.38,1.87,1.07
52,1987,2,15814,10.59,3.964,0.38,1.87,1.07
53,1987,2,39099,10.59,3.394,0.38,1.87,1.07
54,1987,2,38980,12.15,2.781,0.38,1.87,1.07
55,1987,2,0,12.15,2.529,0.38,1.87,1.07
56,1987,2,1386,12.15,3.353,0.38,1.87,1.07
57,1987,2,1353,12.02,3.19,0.38,1.87,1.07
58,1987,2,3972,11.78,2.95,0.38,1.87,1.07
59,1987,2,2662,11.78,3.144,0.38,1.87,1.07
60,1987,2,25021,11.78,3.229,0.38,1.87,1.07
61,1987,2,0,11.62,3.555,0.38,1.87,1.07
62,1987,2,4100,11.41,3.023,0.38,1.87,1.07
63,1987,2,0,11.41,3.527,0.38,1.87,1.07
64,1987,2,107590,11.41,2.762,0.38,1.87,1.07
65,1987,2,307,7.84,3.298,0.38,1.87,1.07
66,1987,2,1813,13.2,3.316,0.38,1.87,1.07
67,1987,2,0,9.15,2.921,0.38,1.87,1.07
68,1987,2,0,9.15,3.198,0.38,1.87,1.07
69,1987,2,305,8.11,3.607,0.38,1.87,1.07
70,1987,2,24141,8.74,3.284,0.38,1.87,1.07
71,1987,2,68097,10.75,2.87,0.38,1.87,1.07
72,1987,2,8753,10.75,2.858,0.38,1.87,1.07
73,1987,2,46073,10.8,3.4,0.38,1.87,1.07
74,1987,2,0,10.5,3.546,0.38,1.87,1.07
75,1987,2,0,10.26,4.001,0.38,1.87,1.07
76,1987,2,26812,10.36,3.064,0.38,1.87,1.07
77,1987,2,214390,10.46,2.878,0.38,1.87,1.07
78,1987,2,99366,10.5,4.645,0.38,1.87,1.07
79,1987,2,577597,11.31,4.793,0.38,1.87,1.07
80,1987,2,610244,11.33,3.47,0.38,1.87,1.07
81,1987,2,119885,11.33,2.961,0.38,1.87,1.07
82,1987,2,79350,13.8,3.189,0.38,1.87,1.07
83,1987,2,47247,13.8,3.023,0.38,1.87,1.07
84,1987,2,75113,13.15,1.871,0.38,1.87,1.07
85,1987,2,251802,13.92,1.711,0.38,1.87,1.07
86,1987,2,136549,13.92,1.774,0.38,1.87,1.07
87,1987,2,572426,13.93,1.663,0.38,1.87,1.07
88,1987,2,142729,14.98,1.782,0.38,1.87,1.07
89,1987,2,152889,14.94,1.932,0.38,1.87,1.07
90,1987,2,26402,14.96,2.019,0.38,1.87,1.07
91,1987,2,487441,14.96,1.902,0.38,1.87,1.07
92,1987,2,223045,14.96,1.696,0.38,1.87,1.07
93,1987,2,140922,14.78,1.366,0.38,1.87,1.07
94,1987,2,97151,14.78,1.719,0.38,1.87,1.07
95,1987,2,40338,14.78,1.664,0.38,1.87,1.07
96,1987,2,6470,14.78,1.956,0.38,1.87,1.07
97,1987,2,291,14.77,2.373,0.38,1.87,1.07
98,1987,2,10646,13.67,2.166,0.38,1.87,1.07
99,1987,2,25335,13.64,1.806,0.38,1.87,1.07
100,1987,2,73763,13.64,1.935,0.38,1.87,1.07
101,1987,2,48068,13.59,2.507,0.38,1.87,1.07
102,1987,2,4224,13.67,2.267,0.38,1.87,1.07
103,1987,2,3413,13.48,2.445,0.38,1.87,1.07
104,1987,2,5332,11.99,2.889,0.38,1.87,1.07
105,1987,2,14732,11.99,2.518,0.38,1.87,1.07
106,1987,2,11195,12.78,2.815,0.38,1.87,1.07
107,1987,2,11094,12.78,2.231,0.38,1.87,1.07
