"site_id","year","quarter","kelp","no3","waves","NPGO","MEI","PDO","mean_surf_temp"
148,1987,1,0,3.09,5.396,0.58,1.2,1.65,14.108
149,1987,1,0,3.09,5.324,0.58,1.2,1.65,14.108
150,1987,1,0,3.09,6.191,0.58,1.2,1.65,14.108
151,1987,1,0,3.14,5.27,0.58,1.2,1.65,14.108
152,1987,1,0,3.11,5.163,0.58,1.2,1.65,14.108
153,1987,1,0,3.19,4.903,0.58,1.2,1.65,14.108
154,1987,1,0,3.1,4.936,0.58,1.2,1.65,14.108
155,1987,1,0,3.09,5.223,0.58,1.2,1.65,14.108
156,1987,1,0,3,5.573,0.58,1.2,1.65,14.108
157,1987,1,0,2.94,4.914,0.58,1.2,1.65,14.108
158,1987,1,0,2.83,5.69,0.58,1.2,1.65,14.108
159,1987,1,0,4.17,5.024,0.58,1.2,1.65,14.108
160,1987,1,0,4.17,4.736,0.58,1.2,1.65,14.108
161,1987,1,0,4.17,7.018,0.58,1.2,1.65,14.108
162,1987,1,0,4.18,6.875,0.58,1.2,1.65,14.108
163,1987,1,0,3.86,3.982,0.58,1.2,1.65,14.108
164,1987,1,9529,3.95,4.587,0.58,1.2,1.65,14.108
165,1987,1,1118,3.95,4.919,0.58,1.2,1.65,14.108
166,1987,1,1325,3.95,3.387,0.58,1.2,1.65,14.108
167,1987,1,0,3.95,3.965,0.58,1.2,1.65,14.108
168,1987,1,0,4.07,3.75,0.58,1.2,1.65,14.108
169,1987,1,19319,4.26,4.52,0.58,1.2,1.65,14.108
170,1987,1,2309,4.31,3.807,0.58,1.2,1.65,14.108
171,1987,1,4748,4.31,5.37,0.58,1.2,1.65,14.108
172,1987,1,20878,4.34,4.475,0.58,1.2,1.65,14.108
173,1987,1,0,4.18,4.486,0.58,1.2,1.65,14.108
174,1987,1,8823,4.08,3.82,0.58,1.2,1.65,14.108
175,1987,1,22507,4.37,3.318,0.58,1.2,1.65,14.108
176,1987,1,2276,4.43,3.832,0.58,1.2,1.65,14.108
177,1987,1,0,4.45,3.989,0.58,1.2,1.65,14.108
178,1987,1,6437,4.45,3.836,0.58,1.2,1.65,14.108
179,1987,1,9556,4.36,4.006,0.58,1.2,1.65,14.108
180,1987,1,3116,3.86,3.787,0.58,1.2,1.65,14.108
181,1987,1,2971,3.86,4.507,0.58,1.2,1.65,14.108
182,1987,1,1556,3.78,4.117,0.58,1.2,1.65,14.108
183,1987,1,0,4.01,4.724,0.58,1.2,1.65,14.108
184,1987,1,0,3.8,5.084,0.58,1.2,1.65,14.108
185,1987,1,0,3.92,4.705,0.58,1.2,1.65,14.108
186,1987,1,0,3.92,3.969,0.58,1.2,1.65,14.108
187,1987,1,0,3.78,5.039,0.58,1.2,1.65,14.108
188,1987,1,0,4.32,5.082,0.58,1.2,1.65,14.108
189,1987,1,6858,4.34,5.419,0.58,1.2,1.65,14.108
190,1987,1,388,4.45,3.963,0.58,1.2,1.65,14.108
191,1987,1,14479,4.45,4.938,0.58,1.2,1.65,14.108
192,1987,1,1158,4.48,4.473,0.58,1.2,1.65,14.108
193,1987,1,886,4.47,4.64,0.58,1.2,1.65,14.108
194,1987,1,386,4.57,4.479,0.58,1.2,1.65,14.108
195,1987,1,2226,4.21,5.223,0.58,1.2,1.65,14.108
196,1987,1,0,4.27,5.067,0.58,1.2,1.65,14.108
197,1987,1,0,3.92,4.593,0.58,1.2,1.65,14.108
198,1987,1,0,3.88,4.749,0.58,1.2,1.65,14.108
199,1987,1,0,3.9,5.722,0.58,1.2,1.65,14.108
200,1987,1,0,3.87,5.463,0.58,1.2,1.65,14.108
201,1987,1,1016,3.9,4.534,0.58,1.2,1.65,14.108
202,1987,1,395,3.94,4.961,0.58,1.2,1.65,14.108
203,1987,1,0,4.2,3.817,0.58,1.2,1.65,14.108
204,1987,1,0,4.2,4.741,0.58,1.2,1.65,14.108
205,1987,1,0,4.2,4.608,0.58,1.2,1.65,14.108
206,1987,1,469,4.2,4.789,0.58,1.2,1.65,14.108
207,1987,1,0,4.22,4.455,0.58,1.2,1.65,14.108
208,1987,1,26236,4.23,3.995,0.58,1.2,1.65,14.108
209,1987,1,74816,4.29,3.46,0.58,1.2,1.65,14.108
210,1987,1,2531,4.27,3.623,0.58,1.2,1.65,14.108
211,1987,1,0,4.2,4.257,0.58,1.2,1.65,14.108
212,1987,1,0,4.2,5.968,0.58,1.2,1.65,14.108
213,1987,1,264,4.21,6.746,0.58,1.2,1.65,14.108
214,1987,1,0,4.33,4.414,0.58,1.2,1.65,14.108
215,1987,1,0,4.33,5.274,0.58,1.2,1.65,14.108
216,1987,1,0,4.47,4.721,0.58,1.2,1.65,14.108
217,1987,1,0,4.54,4.57,0.58,1.2,1.65,14.108
218,1987,1,15664.5,4.85,3.736,0.58,1.2,1.65,14.108
219,1987,1,117929,4.97,5.188,0.58,1.2,1.65,14.108
220,1987,1,70881,4.97,3.65,0.58,1.2,1.65,14.108
221,1987,1,0,4.98,3.65,0.58,1.2,1.65,14.108
222,1987,1,123464,4.96,3.132,0.58,1.2,1.65,14.108
223,1987,1,46983,4.96,3.521,0.58,1.2,1.65,14.108
224,1987,1,14816,4.96,3.039,0.58,1.2,1.65,14.108
225,1987,1,0,4.14,5.558,0.58,1.2,1.65,14.108
226,1987,1,1755,4.17,4.677,0.58,1.2,1.65,14.108
227,1987,1,13339,3.79,3.54,0.58,1.2,1.65,14.108
228,1987,1,2173,3.94,3.617,0.58,1.2,1.65,14.108
229,1987,1,0,3.9,3.363,0.58,1.2,1.65,14.108
230,1987,1,11089,3.9,3.042,0.58,1.2,1.65,14.108
231,1987,1,0,4.01,3.647,0.58,1.2,1.65,14.108
232,1987,1,2076,4.1,3.777,0.58,1.2,1.65,14.108
233,1987,1,0,3.97,4.585,0.58,1.2,1.65,14.108
234,1987,1,834,3.86,4.325,0.58,1.2,1.65,14.108
235,1987,1,5148,3.86,4.406,0.58,1.2,1.65,14.108
236,1987,1,88364,3.84,4.266,0.58,1.2,1.65,14.108
237,1987,1,1407,3.86,4.591,0.58,1.2,1.65,14.108
238,1987,1,91289,3.9,5.474,0.58,1.2,1.65,14.108
239,1987,1,0,3.9,6.379,0.58,1.2,1.65,14.108
240,1987,1,0,3.9,4.676,0.58,1.2,1.65,14.108
241,1987,1,505,3.98,4.903,0.58,1.2,1.65,14.108
242,1987,1,3648,3.65,6.111,0.58,1.2,1.65,14.108
243,1987,1,10775,3.53,2.605,0.58,1.2,1.65,14.108
244,1987,1,14069,3.55,2.7,0.58,1.2,1.65,14.108
245,1987,1,36474,3.61,2.157,0.58,1.2,1.65,14.108
246,1987,1,45104,3.6,2.053,0.58,1.2,1.65,14.108
247,1987,1,37708,3.53,2.343,0.58,1.2,1.65,14.108
248,1987,1,25521,3.5,2.834,0.58,1.2,1.65,14.108
249,1987,1,85121,3.52,2.839,0.58,1.2,1.65,14.108
250,1987,1,35619,3.42,2.601,0.58,1.2,1.65,14.108
251,1987,1,12022,3.38,3.266,0.58,1.2,1.65,14.108
252,1987,1,2128,3.32,3.854,0.58,1.2,1.65,14.108
253,1987,1,69320,3.33,3.589,0.58,1.2,1.65,14.108
254,1987,1,75095,3.32,3.375,0.58,1.2,1.65,14.108
255,1987,1,13305,3.32,2.99,0.58,1.2,1.65,14.108
256,1987,1,28152,3.13,1.767,0.58,1.2,1.65,14.108
257,1987,1,22287,3.37,2.308,0.58,1.2,1.65,14.108
258,1987,1,9336,3.07,2.53,0.58,1.2,1.65,14.108
259,1987,1,7417,3.31,2.409,0.58,1.2,1.65,14.108
260,1987,1,12219,3.06,3.262,0.58,1.2,1.65,14.108
261,1987,1,4753,3.04,3.17,0.58,1.2,1.65,14.108
262,1987,1,997,3.27,1.578,0.58,1.2,1.65,14.108
263,1987,1,488,3.03,1.536,0.58,1.2,1.65,14.108
264,1987,1,14257,3.03,1.698,0.58,1.2,1.65,14.108
265,1987,1,11754,3.23,1.751,0.58,1.2,1.65,14.108
266,1987,1,11669,2.99,1.868,0.58,1.2,1.65,14.108
267,1987,1,14465,2.92,1.779,0.58,1.2,1.65,14.108
268,1987,1,6028,2.91,1.761,0.58,1.2,1.65,14.108
269,1987,1,18898,2.86,1.732,0.58,1.2,1.65,14.108
270,1987,1,0,2.98,1.662,0.58,1.2,1.65,14.108
271,1987,1,352,2.97,1.54,0.58,1.2,1.65,14.108
272,1987,1,3865,2.73,2.055,0.58,1.2,1.65,14.108
273,1987,1,3496,2.67,2.225,0.58,1.2,1.65,14.108
274,1987,1,114475,2.65,2.238,0.58,1.2,1.65,14.108
275,1987,1,53331,2.69,2.025,0.58,1.2,1.65,14.108
276,1987,1,226,2.53,1.839,0.58,1.2,1.65,14.108
277,1987,1,3143,2.53,1.403,0.58,1.2,1.65,14.108
278,1987,1,46024,2.32,1.736,0.58,1.2,1.65,14.108
279,1987,1,175282,2.38,1.94,0.58,1.2,1.65,14.108
280,1987,1,25850,2.38,1.837,0.58,1.2,1.65,14.108
281,1987,1,12666,2.31,2.071,0.58,1.2,1.65,14.108
282,1987,1,31152,2.3,1.858,0.58,1.2,1.65,14.108
283,1987,1,212981,2.26,1.752,0.58,1.2,1.65,14.108
284,1987,1,147433,2.05,1.669,0.58,1.2,1.65,14.108
285,1987,1,6804,2.18,1.486,0.58,1.2,1.65,14.108
286,1987,1,2098,2.18,1.192,0.58,1.2,1.65,14.108
287,1987,1,30092,2.12,1.466,0.58,1.2,1.65,14.108
288,1987,1,11028,2.12,1.482,0.58,1.2,1.65,14.108
289,1987,1,947,2.08,1.673,0.58,1.2,1.65,14.108
290,1987,1,1361,2.02,1.663,0.58,1.2,1.65,14.108
291,1987,1,9799,2.02,1.694,0.58,1.2,1.65,14.108
292,1987,1,43268,1.99,1.665,0.58,1.2,1.65,14.108
293,1987,1,26552,2.04,1.589,0.58,1.2,1.65,14.108
294,1987,1,20265,2.08,0.843,0.58,1.2,1.65,14.108
295,1987,1,21326,1.99,1.504,0.58,1.2,1.65,14.108
296,1987,1,64259,1.97,1.995,0.58,1.2,1.65,14.108
297,1987,1,111295,1.97,1.816,0.58,1.2,1.65,14.108
298,1987,1,2105,2.06,2.176,0.58,1.2,1.65,14.108
299,1987,1,149351,1.82,1.774,0.58,1.2,1.65,14.108
300,1987,1,22568,1.8,1.714,0.58,1.2,1.65,14.108
301,1987,1,14075,1.74,1.714,0.58,1.2,1.65,14.108
302,1987,1,71218,1,1.842,0.58,1.2,1.65,14.108
303,1987,1,81342,1,2.156,0.58,1.2,1.65,14.108
304,1987,1,50853,1.01,2.219,0.58,1.2,1.65,14.108
305,1987,1,80950,1.1,2.355,0.58,1.2,1.65,14.108
306,1987,1,140660,1.1,2.167,0.58,1.2,1.65,14.108
307,1987,1,106133,1.04,1.775,0.58,1.2,1.65,14.108
308,1987,1,287312,1.02,2.158,0.58,1.2,1.65,14.108
309,1987,1,51723,1.02,1.902,0.58,1.2,1.65,14.108
310,1987,1,70287,1.02,1.928,0.58,1.2,1.65,14.108
311,1987,1,61434,1.02,1.712,0.58,1.2,1.65,14.108
312,1987,1,24763,1.06,1.77,0.58,1.2,1.65,14.108
313,1987,1,73653,1.15,1.771,0.58,1.2,1.65,14.108
314,1987,1,38662,1.17,1.749,0.58,1.2,1.65,14.108
315,1987,1,25948,1.08,1.82,0.58,1.2,1.65,14.108
316,1987,1,80524,1.08,1.181,0.58,1.2,1.65,14.108
317,1987,1,6564,1.11,1.127,0.58,1.2,1.65,14.108
318,1987,1,48572,1.12,1.047,0.58,1.2,1.65,14.108
319,1987,1,34574,1.12,1.132,0.58,1.2,1.65,14.108
320,1987,1,33895,1.12,1.112,0.58,1.2,1.65,14.108
321,1987,1,82366,1.13,1.322,0.58,1.2,1.65,14.108
322,1987,1,241145,0.66,2.67,0.58,1.2,1.65,14.108
323,1987,1,223290,0.63,2.377,0.58,1.2,1.65,14.108
324,1987,1,316477,0.62,2.762,0.58,1.2,1.65,14.108
325,1987,1,479493,0.7,3.027,0.58,1.2,1.65,14.108
326,1987,1,49955,0.59,2.237,0.58,1.2,1.65,14.108
327,1987,1,11629,0.59,2.635,0.58,1.2,1.65,14.108
328,1987,1,1542,0.53,2.85,0.58,1.2,1.65,14.108
329,1987,1,2415,0.52,1.853,0.58,1.2,1.65,14.108
330,1987,1,5412,0.46,2.405,0.58,1.2,1.65,14.108
331,1987,1,5167,0.4,1.684,0.58,1.2,1.65,14.108
332,1987,1,9044,0.42,1.137,0.58,1.2,1.65,14.108
333,1987,1,12474,0.42,1.589,0.58,1.2,1.65,14.108
334,1987,1,2014,0.44,1.546,0.58,1.2,1.65,14.108
335,1987,1,8185,0.52,1.804,0.58,1.2,1.65,14.108
336,1987,1,5862,0.56,2.003,0.58,1.2,1.65,14.108
337,1987,1,13508,0.56,2.288,0.58,1.2,1.65,14.108
338,1987,1,14734,0.56,2.284,0.58,1.2,1.65,14.108
339,1987,1,5645,0.55,2.299,0.58,1.2,1.65,14.108
340,1987,1,5057,0.54,2.225,0.58,1.2,1.65,14.108
341,1987,1,11751,0.61,2.207,0.58,1.2,1.65,14.108
342,1987,1,9317,0.66,2.074,0.58,1.2,1.65,14.108
343,1987,1,370,0.66,2.068,0.58,1.2,1.65,14.108
344,1987,1,3601,0.68,2.583,0.58,1.2,1.65,14.108
345,1987,1,0,0.43,1.308,0.58,1.2,1.65,14.108
346,1987,1,0,0.47,1.385,0.58,1.2,1.65,14.108
347,1987,1,0,0.48,1.733,0.58,1.2,1.65,14.108
348,1987,1,0,0.46,1.563,0.58,1.2,1.65,14.108
349,1987,1,6174,0.46,1.596,0.58,1.2,1.65,14.108
350,1987,1,43626,0.47,1.845,0.58,1.2,1.65,14.108
351,1987,1,454,0.35,2.257,0.58,1.2,1.65,14.108
352,1987,1,8867,0.29,2.243,0.58,1.2,1.65,14.108
353,1987,1,199,0.23,3.91,0.58,1.2,1.65,14.108
354,1987,1,27493,0.24,3.071,0.58,1.2,1.65,14.108
355,1987,1,27177,0.23,3.29,0.58,1.2,1.65,14.108
356,1987,1,31635,0.24,3.807,0.58,1.2,1.65,14.108
357,1987,1,6175,0.24,2.999,0.58,1.2,1.65,14.108
358,1987,1,110052,0.25,3.122,0.58,1.2,1.65,14.108
359,1987,1,105428,0.24,2.898,0.58,1.2,1.65,14.108
360,1987,1,8809,0.23,3.156,0.58,1.2,1.65,14.108
361,1987,1,15446,0.24,3.359,0.58,1.2,1.65,14.108
1,1987,2,0,9.92,2.372,0.38,1.87,1.07,16.6222222222222
2,1987,2,0,9.31,3.411,0.38,1.87,1.07,16.6222222222222
3,1987,2,11349,9.82,2.405,0.38,1.87,1.07,16.6222222222222
4,1987,2,13845,9.83,2.328,0.38,1.87,1.07,16.6222222222222
5,1987,2,0,9.24,2.308,0.38,1.87,1.07,16.6222222222222
6,1987,2,82677,8.93,2.27,0.38,1.87,1.07,16.6222222222222
7,1987,2,23881,8.8,2.006,0.38,1.87,1.07,16.6222222222222
8,1987,2,48241,8.8,2.071,0.38,1.87,1.07,16.6222222222222
9,1987,2,10610,8.6,2.033,0.38,1.87,1.07,16.6222222222222
10,1987,2,66395,8.33,1.777,0.38,1.87,1.07,16.6222222222222
11,1987,2,4159,8.25,1.671,0.38,1.87,1.07,16.6222222222222
12,1987,2,44477,8.25,1.928,0.38,1.87,1.07,16.6222222222222
13,1987,2,138813,8.07,1.725,0.38,1.87,1.07,16.6222222222222
14,1987,2,189668,8.03,2.033,0.38,1.87,1.07,16.6222222222222
15,1987,2,38097,7.49,1.495,0.38,1.87,1.07,16.6222222222222
16,1987,2,14834,7.22,1.759,0.38,1.87,1.07,16.6222222222222
17,1987,2,245479,7.22,1.493,0.38,1.87,1.07,16.6222222222222
18,1987,2,1671,6.8,1.428,0.38,1.87,1.07,16.6222222222222
19,1987,2,53890,6.83,1.32,0.38,1.87,1.07,16.6222222222222
20,1987,2,16629,6.96,1.368,0.38,1.87,1.07,16.6222222222222
21,1987,2,20705,6.79,1.435,0.38,1.87,1.07,16.6222222222222
22,1987,2,0,9.98,0.611,0.38,1.87,1.07,16.6222222222222
23,1987,2,16756,9.93,0.995,0.38,1.87,1.07,16.6222222222222
24,1987,2,75904,9.93,0.954,0.38,1.87,1.07,16.6222222222222
25,1987,2,65032.5,10.03,1.824,0.38,1.87,1.07,16.6222222222222
26,1987,2,168640,9.49,1.502,0.38,1.87,1.07,16.6222222222222
27,1987,2,49296,9.49,2.018,0.38,1.87,1.07,16.6222222222222
28,1987,2,0,9.49,2.704,0.38,1.87,1.07,16.6222222222222
29,1987,2,0,9.48,3.322,0.38,1.87,1.07,16.6222222222222
30,1987,2,0,9.37,3.007,0.38,1.87,1.07,16.6222222222222
31,1987,2,1362,9.5,3.649,0.38,1.87,1.07,16.6222222222222
32,1987,2,2888,9.43,3.306,0.38,1.87,1.07,16.6222222222222
33,1987,2,0,9.06,3.451,0.38,1.87,1.07,16.6222222222222
34,1987,2,1403,9.47,3.274,0.38,1.87,1.07,16.6222222222222
35,1987,2,7348,9.47,3.386,0.38,1.87,1.07,16.6222222222222
36,1987,2,376145,10.36,2.181,0.38,1.87,1.07,16.6222222222222
37,1987,2,160125,10.36,3.044,0.38,1.87,1.07,16.6222222222222
38,1987,2,325857,10.36,2.41,0.38,1.87,1.07,16.6222222222222
39,1987,2,166141,9.81,1.938,0.38,1.87,1.07,16.6222222222222
40,1987,2,252273,9.77,2.107,0.38,1.87,1.07,16.6222222222222
41,1987,2,420536,9.58,1.85,0.38,1.87,1.07,16.6222222222222
42,1987,2,282198,9.58,1.963,0.38,1.87,1.07,16.6222222222222
43,1987,2,425875,10.6,2.352,0.38,1.87,1.07,16.6222222222222
44,1987,2,4114,10.62,1.455,0.38,1.87,1.07,16.6222222222222
45,1987,2,27033,12.27,1.227,0.38,1.87,1.07,16.6222222222222
46,1987,2,74355,12.56,1.902,0.38,1.87,1.07,16.6222222222222
